magmi:delete,sku
1,BRS-BULBLED187
1,BRS-BULBLED188
1,BRS-BULBLED189
1,BRS-BULBLED900
1,BRS-BULBLED901
1,BRS-BULBLED902
1,BRS-BULBLED903
1,BRS-BULBLED907
1,BRS-BULBLED908
1,BRS-BULBLED909
1,BRS-BULBLED910
1,BRS-BULBLED911
1,BRS-BULBLED912
1,BRS-BULBLED913WARMWHITE
1,BRS-BULBLED914WARMWHITE
1,BRS-BULBLED915WARMWHITE
1,BRS-BULBLED916
1,BRS-BULBLED917
1,BRS-BULBR7S
1,BRS-BULBT522W
1,BRS-BULBT532W
1,BRS-BULBT540W
1,BRS-BULBTUBET5
1,BRS-CF008CHROME.01
1,BRS-CF010/12CHROME
1,BRS-CF011/9CHROME
1,BRS-CF012LED
1,BRS-CF013LED
1,BRS-CF014LED
1,BRS-CF015/5CHROME
1,BRS-CF016/9CHROME
1,BRS-CF017WH
1,BRS-CF017WH.01
1,BRS-CF017WH.02
1,BRS-CF021FR/WH
1,BRS-CF021FR/WH.01
1,BRS-CF021FR/WH.02
1,BRS-CF022LGFR/WH
1,BRS-CF024SATIN
1,BRS-CF024SATIN.01
1,BRS-CF024SATIN.02
1,BRS-CF026CHROME
1,BRS-CF026CHROME.01
1,BRS-CF026CHROME.02
1,BRS-CF033/6+LEDALU
1,BRS-CF042SMCHROME
1,BRS-CF043SMSATIN
1,BRS-CF052CHROME
1,BRS-CF096/5CHR
1,BRS-CF097LED
1,BRS-CF099
1,BRS-CF099.01
1,BRS-CF099.02
1,BRS-CF099.03
1,BRS-CF118/24WATTLED
1,BRS-CF12005WH
1,BRS-CF12005WH.01
1,BRS-CF12005WH.02
1,BRS-CF12009
1,BRS-CF12009.01
1,BRS-CF12009.02
1,BRS-CF1299
1,BRS-CF1299.01
1,BRS-CF1299.02
1,BRS-CF1302WH
1,BRS-CF1302WH.01
1,BRS-CF1302WH.02
1,BRS-CF1304BRASS
1,BRS-CF1304BRASS.01
1,BRS-CF1304BRASS.02
1,BRS-CF1307CHROME
1,BRS-CF1307CHROME.01
1,BRS-CF1307CHROME.02
1,BRS-CF1308CHROME
1,BRS-CF1308CHROME.01
1,BRS-CF1308CHROME.02
1,BRS-CF1352LARGE
1,BRS-CF1355
1,BRS-CF1355.01
1,BRS-CF1355.02
1,BRS-CF1356.02
1,BRS-CF1359LARGECHROME
1,BRS-CF1361CHROME
1,BRS-CF1362CHROME
1,BRS-CF1439/2LGOLD/GD
1,BRS-CF1514
1,BRS-CF1514.01
1,BRS-CF1514.02
1,BRS-CF1550
1,BRS-CF1550.01
1,BRS-CF1550.02
1,BRS-CF1551/12CHROME
1,BRS-CF2008SILVER
1,BRS-CF2008SILVER.01
1,BRS-CF2008SILVER.02
1,BRS-CF214GOLD
1,BRS-CF215GOLD
1,BRS-CF216COPPER
1,BRS-CF217COPPER
1,BRS-CF218CHROME
1,BRS-CF219CHROME
1,BRS-CF221ANTIQUEBRASS
1,BRS-CF222LED
1,BRS-CF223LED
1,BRS-CF240CHROME
1,BRS-CF245/24CRYSTAL
1,BRS-CF260/5CHROME
1,BRS-CF264
1,BRS-CF264.01
1,BRS-CF264.02
1,BRS-CF265
1,BRS-CF265.01
1,BRS-CF265.02
1,BRS-CF266
1,BRS-CF266.01
1,BRS-CF266.02
1,BRS-CF267
1,BRS-CF267.01
1,BRS-CF267.02
1,BRS-CF268
1,BRS-CF268.01
1,BRS-CF268.02
1,BRS-CF2823/20CHROME
1,BRS-CF2826/6LED
1,BRS-CF285/6CHROME
1,BRS-CF286/6CHROME
1,BRS-CF287LED
1,BRS-CF288LED
1,BRS-CF289
1,BRS-CF289.01
1,BRS-CF289.02
1,BRS-CF293
1,BRS-CF293.01
1,BRS-CF293.02
1,BRS-CF294LED
1,BRS-CF295LED
1,BRS-CF296LED
1,BRS-CF297CHROME
1,BRS-CF298CHROME
1,BRS-CF2999SATIN
1,BRS-CF2999SATIN.01
1,BRS-CF2999SATIN.02
1,BRS-CF3000SATIN
1,BRS-CF3000SATIN.01
1,BRS-CF3000SATIN.02
1,BRS-CF3001SATIN
1,BRS-CF3001SATIN.01
1,BRS-CF3001SATIN.02
1,BRS-CF3002SATIN
1,BRS-CF3002SATIN.01
1,BRS-CF3002SATIN.02
1,BRS-CF3005SATIN
1,BRS-CF3005SATIN.01
1,BRS-CF3005SATIN.02
1,BRS-CF3008SILVER
1,BRS-CF3008SILVER.01
1,BRS-CF3008SILVER.02
1,BRS-CF3014SATIN
1,BRS-CF3014SATIN.01
1,BRS-CF3014SATIN.02
1,BRS-CF3017LG
1,BRS-CF3017LG.01
1,BRS-CF3017LG.02
1,BRS-CF3017SM
1,BRS-CF3017SM.01
1,BRS-CF3017SM.02
1,BRS-CF3031SATINCHROM
1,BRS-CF3031SATINCHROM.01
1,BRS-CF3031SATINCHROM.02
1,BRS-CF3040STONE
1,BRS-CF3040STONE.01
1,BRS-CF3040STONE.02
1,BRS-CF3055BLACK/GOLD
1,BRS-CF3055BLACK/GOLD.01
1,BRS-CF3055BLACK/GOLD.02
1,BRS-CF3067.02
1,BRS-CF312/5CRYSTAL
1,BRS-CF313/5CRYSTAL
1,BRS-CF314/9CRYSTAL
1,BRS-CF315/8+LED
1,BRS-CF317CHR
1,BRS-CF318CHR
1,BRS-CF319CHR
1,BRS-CF320CHR
1,BRS-CF322
1,BRS-CF322.01
1,BRS-CF322.02
1,BRS-CF325CHR
1,BRS-CF325CHR.01
1,BRS-CF325CHR.02
1,BRS-CF326CHR
1,BRS-CF326CHR.01
1,BRS-CF326CHR.02
1,BRS-CF327
1,BRS-CF327.01
1,BRS-CF327.02
1,BRS-CF328CHR
1,BRS-CF328CHR.01
1,BRS-CF328CHR.02
1,BRS-CF329CHR
1,BRS-CF329CHR.01
1,BRS-CF329CHR.02
1,BRS-CF330CHR
1,BRS-CF330CHR.01
1,BRS-CF330CHR.02
1,BRS-CF331LED
1,BRS-CF332LED
1,BRS-CF333LED
1,BRS-CF334LED
1,BRS-CF334LED.01
1,BRS-CF334LED.02
1,BRS-CF3401CHR
1,BRS-CF3401CHR.01
1,BRS-CF3401CHR.02
1,BRS-CF3402CHR
1,BRS-CF3402CHR.01
1,BRS-CF3402CHR.02
1,BRS-CF3403CHR
1,BRS-CF3403CHR.01
1,BRS-CF3403CHR.02
1,BRS-CF3404CHR
1,BRS-CF3404CHR.01
1,BRS-CF3404CHR.02
1,BRS-CF343LED
1,BRS-CF3505CHROME
1,BRS-CF3505CHROME.01
1,BRS-CF3505CHROME.02
1,BRS-CF3507
1,BRS-CF3507.01
1,BRS-CF3507.02
1,BRS-CF3508
1,BRS-CF3508.01
1,BRS-CF3508.02
1,BRS-CF3509
1,BRS-CF3509.01
1,BRS-CF3509.02
1,BRS-CF360CHR
1,BRS-CF360CHR.01
1,BRS-CF360CHR.02
1,BRS-CF361
1,BRS-CF361.01
1,BRS-CF361.02
1,BRS-CF362SMALL
1,BRS-CF364LEDWH
1,BRS-CF365LEDWH
1,BRS-CF366LEDWH
1,BRS-CF367LEDSIL
1,BRS-CF368LEDSIL
1,BRS-CF369WH
1,BRS-CF370WH
1,BRS-CF371LED
1,BRS-CF375ALU
1,BRS-CF376ALU
1,BRS-CF377ALU
1,BRS-CF378LG.02
1,BRS-CF378S.02
1,BRS-CF380
1,BRS-CF380.01
1,BRS-CF380.02
1,BRS-CF381/8CHROME
1,BRS-CF382LED
1,BRS-CF383/4CHROME
1,BRS-CF384/5BLACK
1,BRS-CF401/2SILVERBLACK
1,BRS-CF402/3SILVER/BLACK
1,BRS-CF403/3SILVERBLACK
1,BRS-CF405ALU
1,BRS-CF406ALU
1,BRS-CF407ALU
1,BRS-CF414WH
1,BRS-CF414WH.01
1,BRS-CF414WH.02
1,BRS-CF417/16CRYSTAL
1,BRS-CF427/4BK/GD
1,BRS-CF430/2DK/GOLD
1,BRS-CF431/2DK/BROWN
1,BRS-CF432/2BK/GREY
1,BRS-CF476LEDOPAL
1,BRS-CF479/7GOLD
1,BRS-CF480/3GOLD
1,BRS-CF481/4GOLD
1,BRS-CF484/2FOSSILWHITE
1,BRS-CF491
1,BRS-CF491.01
1,BRS-CF491.02
1,BRS-CF492
1,BRS-CF492.01
1,BRS-CF492.02
1,BRS-CF497
1,BRS-CF497.01
1,BRS-CF497.02
1,BRS-CF510/5CHROME
1,BRS-CF512/5CHROME
1,BRS-CF520LED
1,BRS-CF521LED
1,BRS-CF522
1,BRS-CF522.01
1,BRS-CF522.02
1,BRS-CF523
1,BRS-CF523.01
1,BRS-CF523.02
1,BRS-CF524CHR
1,BRS-CF526
1,BRS-CF526.01
1,BRS-CF526.02
1,BRS-CF527
1,BRS-CF527.01
1,BRS-CF527.02
1,BRS-CF530/4+LED
1,BRS-CF541LED
1,BRS-CF541LED.01
1,BRS-CF541LED.02
1,BRS-CF542LED
1,BRS-CF542LED.01
1,BRS-CF542LED.02
1,BRS-CF543LED
1,BRS-CF543LED.01
1,BRS-CF543LED.02
1,BRS-CF544WH
1,BRS-CF544WH.01
1,BRS-CF544WH.02
1,BRS-CF545CHR
1,BRS-CF545CHR.01
1,BRS-CF545CHR.02
1,BRS-CF546SAT
1,BRS-CF546SAT.01
1,BRS-CF546SAT.02
1,BRS-CF548COOL
1,BRS-CF548COOL.01
1,BRS-CF548COOL.02
1,BRS-CF549LED
1,BRS-CF549LED.01
1,BRS-CF549LED.02
1,BRS-CF573LED
1,BRS-CF620LARGE
1,BRS-CF620LARGE.01
1,BRS-CF620LARGE.02
1,BRS-CF620SMALL
1,BRS-CF620SMALL.01
1,BRS-CF620SMALL.02
1,BRS-CF621/7CHROME
1,BRS-CF622/7CHROME
1,BRS-CF634/4WHITE
1,BRS-CF635/8CHROME
1,BRS-CF642/3CHROME
1,BRS-CF643/3CHROME
1,BRS-CF671WH
1,BRS-CF672WH
1,BRS-CF673LEDALU
1,BRS-CF674LEDALU
1,BRS-CF7010/3OLD/GD
1,BRS-CF702/6POL/CHR
1,BRS-CF70632WT5
1,BRS-CF70740WT5
1,BRS-CF721/10+LED
1,BRS-CF722/5CHROME
1,BRS-CF723
1,BRS-CF723.01
1,BRS-CF723.02
1,BRS-CF724
1,BRS-CF724.01
1,BRS-CF724.02
1,BRS-CF725
